2/21/2025 2:17:41 AM,1,Application Start,User logged in
2/21/2025 2:17:43 AM,1,View/Colleges,Navigated to View/Colleges
2/21/2025 2:17:47 AM,1,View/Programs,Navigated to View/Programs
2/21/2025 2:17:48 AM,1,View/Students,Navigated to View/Students
2/21/2025 2:17:49 AM,1,Add/College,Navigated to Add/College
2/21/2025 2:17:49 AM,1,Add/Program,Navigated to Add/Program
2/21/2025 2:17:49 AM,1,Add/Student,Navigated to Add/Student
2/21/2025 2:17:50 AM,1,History,Navigated to History
2/21/2025 2:17:51 AM,1,View/Colleges,Navigated to View/Colleges
2/21/2025 2:17:51 AM,1,View/Programs,Navigated to View/Programs
2/21/2025 2:17:51 AM,1,History,Navigated to History
2/21/2025 2:17:51 AM,1,History,Navigated to History
2/21/2025 2:17:52 AM,1,History,Navigated to History
2/21/2025 2:17:52 AM,1,View/Students,Navigated to View/Students
2/21/2025 2:17:52 AM,1,View/Colleges,Navigated to View/Colleges
2/21/2025 2:17:52 AM,1,View/Programs,Navigated to View/Programs
2/21/2025 2:17:53 AM,1,View/Students,Navigated to View/Students
2/21/2025 2:17:53 AM,1,View/Colleges,Navigated to View/Colleges
2/21/2025 2:17:53 AM,1,View/Programs,Navigated to View/Programs
2/21/2025 2:17:53 AM,1,View/Programs,Navigated to View/Programs
2/21/2025 2:17:53 AM,1,View/Programs,Navigated to View/Programs
2/21/2025 2:17:54 AM,1,View/Programs,Navigated to View/Programs
2/21/2025 2:17:54 AM,1,View/Programs,Navigated to View/Programs
2/21/2025 2:17:55 AM,1,History,Navigated to History
2/21/2025 2:17:55 AM,1,History,Navigated to History
2/21/2025 2:17:55 AM,1,About,Navigated to About
2/21/2025 2:17:55 AM,1,History,Navigated to History
2/21/2025 2:17:56 AM,1,About,Navigated to About
2/21/2025 2:17:56 AM,1,History,Navigated to History
2/21/2025 2:17:56 AM,1,History,Navigated to History
2/21/2025 2:17:57 AM,1,History,Navigated to History
